time,x,y,yaw_deg,speed,accel,cmd_v,cmd_w,route_index,target_x,target_y
0.006,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.101,33.000,90.021,90.000,0.104,1.099,4.500,-0.000105,0,32.708,100.500
0.201,33.000,90.065,90.000,0.661,5.536,4.500,-0.000105,0,32.708,100.500
0.302,33.000,90.139,89.997,0.818,1.563,4.500,-0.000079,0,32.708,100.500
0.402,33.000,90.243,90.001,1.190,3.697,4.500,-0.000115,0,32.708,100.500
0.503,33.000,90.372,89.999,1.382,1.903,4.500,-0.000097,0,32.708,100.500
0.604,33.000,90.527,90.000,1.658,2.746,4.500,-0.000109,0,32.708,100.500
0.704,33.000,90.702,90.004,1.841,1.823,4.500,-0.000139,1,32.708,101.500
0.806,33.000,90.900,90.004,2.078,2.330,4.500,-0.000134,1,32.708,101.500
0.906,33.000,91.116,90.003,2.236,1.587,4.500,-0.000132,1,32.708,101.500
1.006,33.000,91.350,90.006,2.413,1.756,4.500,-0.000154,1,32.708,101.500
1.107,33.000,91.573,90.007,2.544,1.300,4.500,0.021111,2,32.708,102.500
1.209,33.000,91.837,90.011,2.701,1.539,4.500,0.022476,2,32.708,102.500
1.310,32.997,92.112,90.100,2.793,0.919,4.500,0.022971,2,32.708,102.500
1.410,32.994,92.400,90.222,2.947,1.535,4.500,0.023139,2,32.708,102.500
1.511,32.989,92.699,90.355,3.024,0.764,4.500,0.044156,3,32.708,103.500
1.612,32.984,93.008,90.514,3.154,1.288,4.500,0.045661,3,32.708,103.500
1.713,32.975,93.326,90.738,3.215,0.605,4.500,0.046080,3,32.708,103.500
1.813,32.962,93.687,91.051,3.323,1.072,4.500,0.128825,4,32.708,105.500
1.914,32.949,93.988,91.336,3.373,0.488,4.500,0.134395,4,32.708,105.500
2.015,32.919,94.362,92.142,3.453,0.798,4.850,0.056771,5,32.708,109.500
2.116,32.884,94.711,93.010,3.589,1.351,5.000,-0.009323,5,32.708,109.500
2.217,32.852,95.091,93.514,3.904,3.130,5.000,-0.012516,6,32.708,110.500
2.318,32.828,95.477,93.581,3.879,-0.243,5.000,-0.013475,6,32.708,110.500
2.418,32.805,95.875,93.509,4.030,1.501,5.000,-0.013756,6,32.708,110.500
2.519,32.778,96.355,93.387,4.043,0.135,5.000,-0.013892,7,32.708,111.500
2.620,32.757,96.765,93.278,4.124,0.800,5.000,-0.013957,7,32.708,111.500
2.721,32.736,97.176,93.166,4.146,0.220,5.350,-0.033257,8,32.708,112.500
2.822,32.716,97.600,93.028,4.351,2.029,5.700,-0.035139,8,32.708,112.500
2.922,32.699,98.052,92.772,4.621,2.680,6.050,-0.035325,9,32.708,113.500
3.025,32.684,98.525,92.465,4.848,2.221,6.400,-0.034444,9,32.708,113.500
3.124,32.671,99.027,92.134,5.192,3.455,6.750,-0.032666,10,32.708,114.500
3.225,32.660,99.547,91.822,5.265,0.724,7.100,-0.030611,10,32.708,114.500
3.326,32.651,100.103,91.422,5.618,3.480,7.450,-0.027009,11,32.708,115.500
3.427,32.644,100.734,91.076,5.804,1.840,7.800,0.000000,11,32.708,115.500
3.528,32.638,101.335,90.802,6.091,2.851,8.150,0.000000,12,32.708,116.500
3.628,32.630,101.965,90.774,6.467,3.748,8.500,0.000000,12,32.708,116.500
3.730,32.622,102.623,90.733,6.785,3.131,8.850,0.000000,13,32.708,118.500
3.830,32.613,103.311,90.764,7.047,2.627,9.200,0.000000,14,32.708,119.500
3.931,32.603,104.027,90.815,7.265,2.158,9.550,0.000000,15,32.708,120.500
4.032,32.592,104.848,90.805,7.561,2.923,9.900,0.000000,15,32.708,120.500
4.133,32.582,105.542,90.808,7.867,3.021,10.250,0.000000,16,32.708,121.500
4.235,32.570,106.420,90.796,8.101,2.303,10.600,0.000000,17,32.708,122.500
4.335,32.558,107.251,90.792,8.409,3.091,10.950,0.000000,18,32.708,123.500
4.436,32.546,108.117,90.786,8.886,4.687,11.300,0.000000,19,32.708,124.500
4.537,32.534,109.015,90.800,9.051,1.638,11.650,0.000000,20,32.708,125.500
4.637,32.521,109.940,90.789,9.406,3.554,12.000,0.000000,20,32.708,125.500
4.738,32.508,110.888,90.800,9.670,2.607,12.350,0.000000,21,32.708,126.500
4.840,32.494,111.875,90.799,9.930,2.562,12.700,0.000000,22,32.708,127.500
4.940,32.480,112.894,90.789,10.335,4.026,13.050,0.000000,23,32.708,128.500
5.041,32.465,113.937,90.800,10.602,2.637,13.400,0.000000,24,32.708,129.500
5.143,32.450,115.015,90.808,10.855,2.476,13.750,0.000000,26,32.708,131.500
5.243,32.433,116.232,90.807,11.300,4.462,14.100,0.000000,27,32.708,132.500
5.343,32.419,117.265,90.808,11.561,2.600,13.100,0.000000,28,32.708,133.500
5.445,32.401,118.534,90.810,11.328,-2.291,12.100,0.000000,29,32.708,134.500
5.545,32.385,119.628,90.824,10.643,-6.827,11.100,0.000000,30,32.708,135.500
5.646,32.370,120.673,90.803,10.268,-3.717,10.100,0.000000,31,32.708,136.500
5.747,32.356,121.669,90.792,9.644,-6.181,9.100,-0.034577,32,32.708,137.500
5.849,32.348,122.615,90.641,9.196,-4.428,8.203,-0.029904,33,32.708,138.500
5.951,32.350,123.503,90.148,8.585,-5.974,8.203,-0.023724,34,32.708,139.500
6.051,32.357,124.353,89.727,8.563,-0.224,8.203,-0.015293,35,32.708,140.500
6.152,32.370,125.300,89.291,8.504,-0.583,8.176,0.000000,36,32.708,139.500
6.252,32.382,126.063,89.099,8.456,-0.474,8.176,0.000000,37,32.708,139.500
6.354,32.397,126.991,89.004,8.346,-1.081,8.176,0.000000,37,32.708,139.500
6.455,32.411,127.820,88.980,8.275,-0.710,8.176,0.000000,38,32.708,140.500
6.554,32.426,128.649,88.964,8.313,0.388,8.176,0.000000,39,32.708,141.500
6.656,32.440,129.470,88.959,8.198,-1.134,8.176,0.000000,40,32.708,142.500
6.756,32.455,130.287,88.972,8.186,-0.115,8.176,0.000000,41,32.710,143.500
6.857,32.470,131.099,88.950,8.054,-1.306,8.176,0.000000,42,32.777,144.500
6.958,32.484,131.907,88.953,8.114,0.596,8.176,0.000000,42,32.777,144.500
7.058,32.499,132.717,88.951,8.000,-1.134,8.176,0.000000,43,32.944,145.480
7.159,32.514,133.519,88.963,8.086,0.856,7.176,0.000000,44,33.209,146.440
7.260,32.530,134.386,89.008,7.600,-4.816,6.176,0.000000,45,33.568,147.380
7.360,32.541,135.042,89.010,7.025,-5.724,5.176,-0.001112,46,34.019,148.270
7.462,32.554,135.780,89.001,6.357,-6.578,4.500,-0.001152,46,33.568,147.380
7.564,32.565,136.391,89.019,5.917,-4.296,4.500,-0.005903,47,34.019,148.270
7.664,32.576,136.978,88.973,6.050,1.324,4.500,-0.002750,47,34.019,148.270
7.766,32.588,137.566,88.921,5.729,-3.170,4.500,-0.001001,48,34.556,149.110
7.866,32.599,138.132,88.913,5.679,-0.492,4.500,0.000868,49,35.175,149.900
7.968,32.610,138.689,88.873,5.541,-1.358,4.500,0.003008,49,35.175,149.900
8.069,32.620,139.231,88.914,5.381,-1.588,4.500,0.003389,50,35.870,150.620
8.169,32.629,139.766,88.943,5.318,-0.627,4.500,0.004445,50,35.870,150.620
8.271,32.638,140.298,88.968,5.289,-0.283,4.500,0.005561,51,36.632,151.260
8.370,32.646,140.813,89.021,5.160,-1.295,4.500,0.005812,51,36.632,151.260
8.472,32.654,141.378,89.087,5.140,-0.197,4.500,0.006123,52,36.632,151.260
8.572,32.660,141.830,89.186,4.955,-1.850,4.500,0.005196,52,36.632,151.260
8.674,32.666,142.376,89.249,4.990,0.347,4.500,0.003292,53,37.456,151.830
8.774,32.672,142.867,89.291,4.840,-1.503,4.500,0.003429,53,37.456,151.830
8.875,32.677,143.352,89.325,4.868,0.276,4.500,-0.061544,54,38.331,152.310
8.977,32.692,143.832,88.996,4.750,-1.164,4.500,-0.058907,54,38.331,152.310
9.078,32.714,144.308,88.474,4.769,0.184,4.500,-0.153181,55,39.251,152.700
9.178,32.756,144.776,87.396,4.655,-1.131,4.500,-0.141118,55,39.251,152.700
9.279,32.810,145.241,86.097,4.692,0.368,4.500,-0.222270,56,40.205,153.000
9.380,32.886,145.696,84.151,4.574,-1.169,4.500,-0.199694,56,40.205,153.000
9.481,32.981,146.146,82.363,4.626,0.509,4.500,-0.262763,57,41.184,153.200
9.582,33.100,146.635,80.272,4.534,-0.904,4.500,-0.237050,57,41.184,153.200
9.684,33.232,147.069,78.085,4.534,0.003,4.500,-0.304663,58,42.178,153.310
9.785,33.378,147.496,75.892,4.506,-0.279,4.500,-0.276702,58,42.178,153.310
9.886,33.549,147.910,73.368,4.460,-0.452,4.500,-0.237041,58,42.178,153.310
9.987,33.736,148.317,70.860,4.492,0.314,4.500,-0.297793,59,43.168,153.320
